location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
稚内,2025-07-06T09:00:00+09:00,2025-07-05T17:43:10.629810+09:00,22.0,,,cloudy,くもり,0.0,93.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-05T17:00:00+09:00,2025-07-05T17:43:10.639355+09:00,23.8,,,clear,晴れ,0.0,84.0,3.2,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-05T18:00:00+09:00,2025-07-05T17:43:10.642492+09:00,23.0,,,clear,晴れ,0.0,95.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-05T19:00:00+09:00,2025-07-05T17:43:10.651155+09:00,22.0,,,cloudy,くもり,0.0,97.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-05T20:00:00+09:00,2025-07-05T17:43:10.655742+09:00,21.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-05T21:00:00+09:00,2025-07-05T17:43:10.660454+09:00,20.0,,,cloudy,くもり,0.0,98.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-05T22:00:00+09:00,2025-07-05T17:43:10.664108+09:00,20.0,,,cloudy,くもり,0.0,99.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-05T23:00:00+09:00,2025-07-05T17:43:10.665458+09:00,20.0,,,cloudy,くもり,0.0,99.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T00:00:00+09:00,2025-07-05T17:43:10.666645+09:00,20.0,,,cloudy,くもり,0.0,99.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-06T01:00:00+09:00,2025-07-05T17:43:10.667802+09:00,19.0,,,cloudy,くもり,0.0,99.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
